OTTAWA/ONTARIO ADDRESSES
"4329 OWL VALLEY DRIVE|Ottawa, Ontario K1V1L3"
"41 GLENRIDGE ROAD|Ottawa, Ontario K2G2Z6"
"108 FOURTH AVENUE|Ottawa, Ontario K1S2L4"
"325 DE LA MELODIE STREET|Ottawa, Ontario K1W0H9"
"234 RIDEAU STREET UNIT#1009|Ottawa, Ontario K1N0A9"
"95 CARDIFF PRIVATE|Ottawa, Ontario K2C3P4"
"35 STAMFORD PRIVATE|Ottawa, Ontario K1T3J4"
"228 JERSEY TEA CIRCLE|Ottawa, Ontario K1V2L4"
"877 WINNINGTON AVENUE|Ottawa, Ontario K2B5C4"
"51 NORICE STREET|Ottawa, Ontario K2G2X7"
"879 DUBERRY STREET|Ottawa, Ontario K2A3T2"
"104 WARD COURT|Ottawa, Ontario K0A1X0"
"257 SERENA WAY|Ottawa, Ontario K2G4P6"
"1695 HEATHERINGTON ROAD|Ottawa, Ontario K1V8T8"
"1531 ST LAURENT BOULEVARD|Ottawa, Ontario K1G1A1"
"700 SUSSEX DRIVE UNIT#608|Ottawa, Ontario K1N1K4"
"255 BAY STREET UNIT#211|Ottawa, Ontario K1R0C5"
"530 LAURIER AVENUE W UNIT#1902|Ottawa, Ontario K1R7T1"
"2570 SOUTHVALE CRESCENT UNIT#74|Ottawa, Ontario K1B5B6"
"721 MELBOURNE AVENUE|Ottawa, Ontario K2A1X4"
"3684 FALLOWFIELD ROAD UNIT#208|Ottawa, Ontario K2J2J1"
"15 AYLMER AVENUE UNIT#102|Ottawa, Ontario K1S2W8"
"224 LYON STREET N UNIT#1304|Ottawa, Ontario K1R0C1"
"345 ST DENIS STREET UNIT#113|Ottawa, Ontario K1L5J1"
"1035 BANK STREET UNIT#401|Ottawa, Ontario K1S5K3"
"541 BESSERER STREET|Ottawa, Ontario K1N6C6"
"212 EQUESTRIAN DRIVE UNIT#C|Ottawa, Ontario K2M1E2"
"450 VIA VERONA AVENUE UNIT#A|Ottawa, Ontario K2J6B3"
"97 CRESTWAY DRIVE UNIT#F|Ottawa, Ontario K2G7C6"
"44 PEIKOFF CRESCENT|Ottawa, Ontario K2K3K9"
"1140 D'ERABLE PLACE|Ottawa, Ontario K1C5L6"
"2004 BANFF AVENUE|Ottawa, Ontario K1V7X7"
"1913 INNES ROAD|Ottawa, Ontario K1B5P7"
"111 CHAMPAGNE AVENUE S UNIT #605|Ottawa, Ontario K1S5V3"
"61 HARVEY STREET|Ottawa, Ontario K1S0A8"
"623 WESTVIEW AVENUE UNIT#B|Ottawa, Ontario K1Z6E2"
"107 ARTESA PRIVATE UNIT#E|Ottawa, Ontario K2S0J8"
"1640 KINGSDALE AVE|Ottawa, Ontario K1T1H4"
"153 WAVERLEY STREET|Ottawa, Ontario K2P0V3"
"98 RICHMOND ROAD UNIT#804|Ottawa, Ontario K1Z0B2"
"2210 LOYOLA AVENUE UNIT#38|Ottawa, Ontario K1J8H5"
"11 OBLATS AVENUE UNIT#112|Ottawa, Ontario K1S5V8"
"336 DES EPINETTES AVENUE|Ottawa, Ontario K1E2L6"
"241 HILLCREST ROAD|Ottawa, Ontario K1M0J4"
"778 CHAPMAN MILLS DRIVE UNIT#D|Ottawa, Ontario K2J3V2"
"15 QUARTZ CRESCENT|Ottawa, Ontario K2S1Z3"
"345 KINTYRE PRIVATE|Ottawa, Ontario K2C3M6"
"361 ALASKEN DRIVE|Ottawa, Ontario K1T0M4"
"384 BRISTON PVT|Ottawa, Ontario K1G5R2"
"270 BIG SKY PRIVATE|Ottawa, Ontario K1T0M8"
"3224 BANNON WAY|Ottawa, Ontario K1T1T3"
"1100 AMBLESIDE DRIVE UNIT#809|Ottawa, Ontario K2B8G6"
"765 CEDAR CREEK DRIVE UNIT#G|Ottawa, Ontario K1T0B3"
"434 SADAR PRIVATE|Ottawa, Ontario K2J0C8"
"665 BATHGATE DRIVE UNIT#712|Ottawa, Ontario K1K3Y4"
"614 MIKINAK ROAD|Ottawa, Ontario K1K3X7"
"45 GRADY CRESCENT|Ottawa, Ontario K2H5S2"
"61 CATTERICK CRESCENT|Ottawa, Ontario K2K3M6"
"3B FOXHILL WAY|Ottawa, Ontario K2J1P3"
"151 MARKLAND CRESCENT|Ottawa, Ontario K2G5Z7"
"71 SWEETLAND AVENUE UNIT#6|Ottawa, Ontario K1N7T9"
"1345 THAMES STREET|Ottawa, Ontario K1Z7N3"
"176 HAWTHORNE AVENUE|Ottawa, Ontario K1S0B5"
"3041 RIDGETOP ROAD|Ottawa, Ontario K0A1T0"
"215 BRISTON PRIVATE|Ottawa, Ontario K1G5R5"
"6 WESLOCK WAY UNIT#B|Ottawa, Ontario K2K2K1"
"389 STONEWAY DRIVE|Ottawa, Ontario K2G6G7"
"69 FOXFIELD DRIVE UNIT#A|Ottawa, Ontario K2J1L7"
"203 CATHERINE STREET N UNIT#B20|Ottawa, Ontario K2P1C3"
"200 RIDEAU STREET UNIT#1103|Ottawa, Ontario K1N5Y1"
"38 TELMON STREET|Ottawa, Ontario K1S0H9"
"1820 NORTHLANDS DRIVE|Ottawa, Ontario K4A3S2"
"640 SPRING VALLEY DRIVE|Ottawa, Ontario K1W0C6"
"70 RALLIDALE STREET|Ottawa, Ontario K1X0G7"
"680 DOVERCOURT AVENUE|Ottawa, Ontario K2A0W5"
"514 GILMOUR STREET|Ottawa, Ontario K1R5L4"
